Date,NFLX.MX,FB2A.DE,AAPL.MX,BKNG34.SA,SU.PA,TKWY.AS,GOOGL.MX,STLA.PA,005930.KS,ABBN.SW,ACN,ADBE,ADE.OL,AIR.PA,ALD.PA,ALV,ALO.PA,AMS.MC,AMZN.MX,ASML.AS,ASSA-B.ST,ATCO-A.ST,ATE.PA,ATO.PA,AVGO34.SA,AVV.L,BMW.DE,BRE.IM,CAP.PA,CCC.L,CERV.MI,CON.DE,CRM,CSCO.MX,CTXS,DAI.DE,DEC.PA,DEMANT.CO,DHER.DE,DLG.DE,DSY.PA,DTE.DE,DVT.PA,EBA,EDEN.PA,ELIOR.PA,ELISA.HE,EN.PA,SIE.DE,EO.PA,ERIC-B.ST,ETL.PA,FFP.PA,FII.PA,FLS.CO,FNAC.PA,FR.PA,GEBN.SW,GIB-A.TO,GLW,GN.CO,HEXA-B.ST,HLE.DE,HO.PA,IDR.MC,IFX.DE,ILD.PA,INTC,IP.MI,JNPR,JUN3.DE,KBX.DE,KGX.DE,KPN.AS,TLND,CLNX.MC,ELUX-B.ST,ZAL.DE,WRTBY,WLN.PA,WKL.AS,WDAY.MX,WAF.DE,VOD.L,VOW3.DE,VOLV-B.ST,VIV.PA,VACN.SW,UBER.MX,LDO.MI,LOGN.SW,LR.PA,LYFT,ML.PA,MMB.PA,MMT.PA,MSFT.MX,MTX.F,NOKIA.HE,TXN,TSM,TMV.DE,TIT.MI,TIETO.HE,TFI.PA,TEP.PA,TEMN.SW,TEL2-B.ST,TEL.OL,TEF.MC,SW.PA,SOP.PA,SOON.SW,SKF-B.ST,SIGN.SW,SIE.DE,SGE.L,SCMN.SW,SCHP.SW,SCHB.OL,SAP.DE,SAND.ST,SAF.PA,RR.L,RMV.L,RIB.DE,REL.L,RAND.SA,PSON.L,PSM.DE,PRX.AS,PROX.BR,POM.PA,PIRC.MI,PFV.DE,PANW.MX,PAGE.L,OSR.DE,ORCL,ORA.PA,O2D.VI,NOW,NEXI.MI,NEX.PA,NETC.PA,MU
2000-01-03,,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-04,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-05,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-06,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-07,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-10,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-11,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-12,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-13,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
2000-01-14,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0
