,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url,address2,fax,toCurrency,lastDividendDate,impliedSharesOutstanding
0,95014,Technology,147000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1.0,One Apple Park Way,Consumer Electronics,2581.53,2619.0,2535.8132,0.0003126053,0.2177,,2680.0,,66409.0,,2581.53,2553.9146,0.807,2619.0,66409.0,,,,16.43,1612483200.0,1.219525,,,2619.0,2.0,MXN,36.114254,191759.0,,,,44886850011136.0,,,57600.0,152.60628,2619.0,2678.99,,550000.0,191759.0,3009.05,,,1.37,1562.5,2670.0,False,0.0061000003,2550000.0,2680.0,MEX,APPLE INC,Apple Inc.,America/Mexico_City,CDT,True,-18000000,,EQUITY,AAPL.MX,,,finmb_24937,27f3f5fc-5f2f-3397-872b-2788afddf9af,mx_market,,152.894,,0.21735,528.09,,,,,16788100096.0,,,3.936,,,,1601078400.0,0.59790003,63929999360.0,74.117,,,680.0508,0.00075999997,1664150400.0,1608940800.0,,,16770636380.0,44971579146240.0,,1598832000.0,4:1,,,0.293,,,,,,,,2676.68,https://logo.clearbit.com/apple.com,,,,,
1,06854,Consumer Cyclical,20097.0,"Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com, which offers online accommodation reservations; Rentalcars.com that provides online rental car reservation services; Priceline, which offer online travel reservation services, including hotel, rental car and airline ticket reservation services, as well as vacation packages and cruises; and Agoda that provides online accommodation reservation services, as well as flight, ground transportation and activities reservation services. It also operates KAYAK, an online price comparison service that allows consumers to search and compare travel itineraries and prices, comprising airline ticket, accommodation reservation, and rental car reservation information; and OpenTable for booking online restaurant reservations. Further, it offers travel-related insurance products, and restaurant management services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. Booking Holdings Inc. was founded in 1997 and is headquartered in Norwalk, Connecticut.",Norwalk,203-299-8000,CT,United States,[],http://www.bookingholdings.com,1.0,800 Connecticut Avenue,Travel Services,78.09,79.0,63.99105,,0.0,,79.43,,18992.0,,78.09,74.14647,,79.0,18992.0,,,,,,1.266409,,,77.01,2.0,BRL,1600.3741,9390.0,,,,558958641152.0,,,25740.0,82.24818,77.01,79.8,,,9390.0,81.5,,,,41.1,77.0,False,,,79.43,SAO,BOOKING     DRN,Booking Holdings Inc.,America/Sao_Paulo,BRT,False,-10800000,,EQUITY,BKNG34.SA,,,finmb_33254,dd441195-3247-3520-8f57-84c7717ad40d,br_market,,77.578,,0.00868,507.92,,,,,7168309760.0,,,0.716754,,,,1609372800.0,0.00011,59000000.0,0.04812,,,107.44272,0.0,1672444800.0,1609372800.0,,,6801911035.0,527220637696.0,,,,,,,,,,,,,,77.01,https://logo.clearbit.com/bookingholdings.com,,,,,
2,92500,Industrials,135000.0,"Schneider Electric S.E. provides energy and automation digital solutions worldwide. The company operates in two segments, Energy Management and Industrial Automation. It offers busway and cable management products, circuit breakers and switches, contactors and protection relays, electrical protection and control products, fuse and safety switches, motor starters and protection components, power monitoring and control products, power quality and power factor correction products, pushbuttons, switches, pilot lights and joysticks, software products, surge protection and power conditioning products, and switchboards and enclosures. The company also provides access control, building management, fire and security, network infrastructure and connectivity, power monitoring and control, power quality and power factor correction, sensor, valve and valve actuator, variable speed drive and soft starter, and video management system products. In addition, it offers feeder automation and grid automation and SCADA software products, medium voltage switchgears and transformers, outdoor equipment, power monitoring and control products, protection relays, substation automation products, and switchgear components. Further, the company provides data center software, IT power distribution products, prefabricated data center modules, racks and accessories, security and environmental monitoring products, surge protection and power conditioning products, and uninterruptible power supply (UPS) products. Additionally, it offers electrical protection and control products, home automation and security products, installation materials and systems, light switches and electrical sockets, network infrastructure and connectivity products, and UPS. It also provides industrial automation and control products; energy access products, such as collective solutions and home systems; and solar and energy storage products. The company was founded in 1836 and is headquartered in Rueil-Malmaison, France.",Rueil-Malmaison,,,France,[],http://www.se.com/ww/en,1.0,35 rue Joseph Monier,Specialty Industrial Machinery,131.96,134.48,118.40036,0.01970294,0.6688,,135.46,,1027603.0,,131.96,126.21618,2.6,134.48,1027603.0,,,,2.6,1620604800.0,0.899778,,,133.4,2.0,EUR,35.553806,725424.0,,,,75089133568.0,,,1061804.0,2.9845834,133.4,0.0,,0.0,725424.0,135.46,27.588596,,2.89,75.04,0.0,False,0.019199999,0.0,135.46,PAR,SCHNEIDER ELECTRIC,Schneider Electric S.E.,Europe/Paris,CEST,True,7200000,,EQUITY,SU.PA,,,finmb_682078,96036c4a-8b23-3269-960f-13d227dda0d3,fr_market,,3.292,,0.0845,19.467,,,4.91,,554326976.0,,,37.204,,,,1609372800.0,0.53553003,2126000000.0,3.81,,,3.6410067,0.03782,1672444800.0,1609372800.0,,,532846900.0,82814148608.0,,1314921600.0,2:1,,,-0.049,,,,,,,,135.46,https://logo.clearbit.com/se.com,,,,,
3,1011 DK,Consumer Cyclical,9000.0,"Just Eat Takeaway.com N.V. operates an online food delivery marketplace. The company focuses on connecting consumers and restaurants through its platforms. It serves in the United Kingdom, Germany, Canada, the Netherlands, Australia, Austria, Belgium, Bulgaria, Denmark, France, Ireland, Israel, Italy, Luxembourg, New Zealand, Norway, Poland, Portugal, Romania, Spain, and Switzerland, as well as through partnerships in Colombia and Brazil. The company was founded in 2000 and is headquartered in Amsterdam, the Netherlands.",Amsterdam,,,Netherlands,[],http://www.justeattakeaway.com,1.0,Oosterdoksstraat 80,Internet Retail,82.81,83.03,90.54521,,0.0,,83.78,,697321.0,,82.81,81.53147,,83.03,697321.0,,,,,,0.292924,,,82.01,2.0,EUR,,467305.0,,,,12418695168.0,,,916731.0,6.081633,82.01,0.0,,0.0,467305.0,110.65,333.8,,,73.6,0.0,False,,0.0,83.78,AMS,JUST EAT TAKEAWAY,Just Eat Takeaway.com N.V.,Europe/Amsterdam,CEST,False,7200000,,EQUITY,TKWY.AS,,,finmb_145810514,fe72ee08-49fa-30cc-bb45-06bd26e80616,nl_market,,6.098,,-0.07395,711.596,,,0.25,,148816000.0,,,57.133,,,,1609372800.0,0.61401004,-151000000.0,-1.075,,,1.460627,0.21168,1672444800.0,1609372800.0,,,107743026.0,12452922368.0,,,,,,,,,,,,,,83.45,https://logo.clearbit.com/justeattakeaway.com,,,,,
4,94043,Communication Services,135301.0,"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. The company offers performance and brand advertising services. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, such as ads, Android, Chrome, hardware, Google Maps, Google Play, Search, and YouTube, as well as technical infrastructure; and digital content. The Google Cloud segment offers infrastructure and data analytics platforms, collaboration tools, and other services for enterprise customers. The Other Bets segment sells internet and TV services, as well as licensing and research and development services. The company was founded in 1998 and is headquartered in Mountain View, California.",Mountain View,650-253-0000,CA,United States,[],http://www.abc.xyz,1.0,1600 Amphitheatre Parkway,Internet Content & Information,45200.0,45260.0,37002.113,,0.0,,45650.0,,101.0,,45200.0,42534.715,,45260.0,101.0,,,,,,0.995587,,,45235.0,2.0,MXN,38.73992,639.0,,,,30874097680384.0,,,571.0,169.14812,45235.0,46000.0,,200.0,639.0,45650.0,,,,28125.76,45476.01,False,,200000.0,45650.0,MEX,ALPHABET INC,Alphabet Inc.,America/Mexico_City,CDT,True,-18000000,,EQUITY,GOOGL.MX,,,finmb_29096,3609c0fb-09e3-3a28-80a4-8fca2c6a4da7,mx_market,,168.005,,0.22062,558.54,,,,,300644000.0,,,329.586,,,,1609372800.0,0.81171,40269000704.0,1178.371,,,138.5071,0.0013400001,1672444800.0,1609372800.0,,,607289273.0,30665517039616.0,,,,,,0.427,,,,,,,,45650.0,https://logo.clearbit.com/abc.xyz,,,,,
5,1175 RA,Consumer Cyclical,204000.0,"Stellantis N.V. engages in the design, engineering, manufacture, distribution, and sale of passenger vehicles, pickup trucks, SUVs, and light commercial vehicles worldwide. It offers luxury, premium, and mainstream vehicles, as well as financial services, and parts and services; and provides retail and dealer financing, leasing, and rental services. The company offers its products under the Abarth, Alfa Romeo, Chrysler, Dodge, Fiat, Fiat Professional, Jeep, Maserati, Opel, Ram, Free2Move, CitroÃ«n, DS Automobiles, Lancia, Mopar, Peugeot, Vauxhall, and Leasys brands. The company sells its products directly, as well as through distributors and dealers. Stellantis N.V. was founded in 1899 and is based in Lijnden, the Netherlands.",Lijnden,31 20 342 1707,,Netherlands,[],http://www.stellantis.com,1.0,Singaporestraat 92-100,Auto Manufacturers,15.246,14.99,9.527779,,0.0,,15.064,,3586762.0,,15.246,14.075149,,14.99,3586762.0,,,,0.1,1618790400.0,,,,14.778,2.0,EUR,6.3424892,4367897.0,,,,46477398016.0,,,5399424.0,0.7652616,14.778,,,,4367897.0,15.4,,,,6.89,,False,0.0064999997,,15.064,PAR,STELLANTIS NV,Stellantis N.V.,Europe/Paris,CEST,False,7200000,,EQUITY,STLA.PA,,,finmb_873861,e490a937-575d-3d3a-a8e2-6778a5c19226,fr_market,,0.107,,0.03578,1.14,,,,,3119930112.0,,,24.006,,,,1609372800.0,0.36903,2172999936.0,2.33,,,0.61559606,0.27346,1672444800.0,1609372800.0,,,522598425.0,6514647040.0,,,,,,0.153,,,,,,,,14.778,https://logo.clearbit.com/stellantis.com,,,,,
6,443-742,Technology,,"Samsung Electronics Co., Ltd. engages in the consumer electronics, information technology and mobile communications, and device solutions businesses worldwide. It offers mobile phones, tablets, wearables, virtual reality, and audio products; TVs, and home theaters; OLED and LCD panels; laptops, computers, chrome books, HDM, memory and system LSI products, monitors, and printers; and home appliances, such as refrigerators, air conditioners, ovens, air purifiers, cooktops and hoods, microwaves, dishwashers, washers, dryers, vacuum cleaners, and heating products, as well as TV and home theater accessories. It also provides security and monitoring, trackers, Wi-Fi routers, hubs, sensors, outlets, and buttons. In addition, the company is involved in the technology and venture capital investment businesses; manufacture of semiconductor equipment and components; and provision of repair services for electronic devices. Further, it provides medical equipment; software development and supply; toll processing of semiconductors and display panels; connected car systems, general logistics agency, financing, marketing, consulting, AI technology research, and cloud services; enterprise automation solutions and connected services; and digital advertising platforms. Additionally, it offers image sensing devices and mobile payment services; and designs and develops software products. The company serves finance, government, healthcare, education, hospitality, transportation, retail, legal, public safety, and manufacturing industries. Samsung Electronics Co., Ltd. was founded in 1938 and is based in Suwon, South Korea.",Suwon-si,82 31 200 1114,,South Korea,[],http://www.samsung.com,1.0,"129, Samsung-ro",Consumer Electronics,85600.0,84700.0,73673.38,,0.77949995,,84900.0,,17207389.0,,85600.0,82562.86,,84700.0,17207389.0,,,,7728.0,1609200000.0,0.92782,,,83400.0,2.0,KRW,,18193707.0,,,,560150909812736.0,,,25737309.0,2.3654325,83400.0,83900.0,,0.0,18193707.0,96800.0,,,2.41,47200.0,83800.0,False,0.0912,0.0,84900.0,KSC,SamsungElec,"Samsung Electronics Co., Ltd.",Asia/Seoul,KST,True,32400000,,EQUITY,005930.KS,,,finmb_91868,ebb4c8f8-ba22-3579-8836-6335b9a20546,kr_market,,1.992,,0.11018,7.264,,,,,5969780224.0,,,,,,,1609372800.0,0.42942002,26090846289920.0,,,,,0.1942,1672444800.0,1609372800.0,,,5532289471.0,471709379461120.0,,1526428800.0,50:1,,,0.233,,,,,,,,83600.0,https://logo.clearbit.com/samsung.com,Yeongtong-gu,,,,
7,8050,Industrials,105600.0,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions for integrating and automating lighting, heating, ventilation, security, and data communication networks. The company's Robotics & Discrete Automation segments provides industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. Its Industrial Automation segment develops and sells industry-specific, integrated automation, and electrification systems and solutions, as well as digital solutions, lifecycle services, and artificial intelligence applications for the process and hybrid industries. This segment also offers process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement, analytical instrumentation, electric ship propulsion systems, and large turbochargers, as well as remote monitoring, preventive maintenance, asset performance management, and cybersecurity services. The company's Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland.",Zurich,41 43 317 71 11,,Switzerland,[],http://www.global.abb/group/,1.0,Affolternstrasse 44,Electrical Equipment & Parts,28.96,29.29,25.487589,0.03121547,5.952,,29.56,,4441159.0,,28.96,27.878857,0.904,29.29,4441159.0,,,,0.8,1616976000.0,1.091362,,,29.15,2.0,CHF,13.106969,4341977.0,,,,59773448192.0,,,6844966.0,2.287191,29.15,29.58,,0.0,4341977.0,29.56,,,,16.365,29.5,False,0.0271,0.0,29.56,EBS,ABB LTD N,ABB Ltd,Europe/Zurich,CEST,True,7200000,,EQUITY,ABBN.SW,,,finmb_18527,c4dc1a8d-e9ff-3829-8756-cb48c130b200,ch_market,,2.373,,0.19691,22.674,,,,,2005149952.0,,,7.723,,,,1609372800.0,0.54264,286000000.0,2.253,,,3.8236437,0.0004,1672444800.0,1609372800.0,,,1657363765.0,62014533632.0,,989193600.0,4:1,,,,,,,,,,,29.53,https://logo.clearbit.com/global.abb,,41 43 317 79 58,,,
8,2,Technology,537000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services. It serves communications, media, high tech, software, and platform companies; banking, capital market, and insurance industries; and consumer goods, retail, travel services, industrial, and life science industries, as well as clients in health, public service, chemicals and natural resources, energy, and utilities sectors. Accenture plc has alliance relationships with Adobe, Alibaba, Amazon Web Services, Blue Yonder, Cisco, Dell, Google, HPE, IBM RedHat, Microsoft, Oracle, Pegasystems, Salesforce, SAP, ServiceNow, VMWare, Workday, Massachusetts Institute of Technology, Institut Polytechnique de Paris, CNH Industrial, and Reactive Technologies. The company was incorporated in 2009 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1.0,1 Grand Canal Square,Information Technology Services,282.57,285.0,247.60637,0.012173975,0.39810002,,287.83,,2209875.0,,282.57,262.0115,3.44,285.0,2209875.0,,,,3.52,1618358400.0,1.100386,,,284.21,2.0,USD,34.04852,1787837.0,,,,182881992704.0,,,2142271.0,4.0038195,284.21,287.75,,1100.0,1787837.0,287.83,30.672707,,1.64,163.93,286.77,False,0.012200001,800.0,287.83,NYQ,Accenture plc,Accenture plc,America/New_York,EDT,True,-14400000,,EQUITY,ACN,,,finmb_972190,64bf532c-0542-3794-9f22-7d6062a2458b,us_market,,3.891,,0.11946999,23.419,,,9.38,,661134976.0,,,28.802,4557269.0,0.0072000003,,1598832000.0,0.73506,5457266176.0,8.45,,,9.989237,0.0010800001,1661904000.0,1614470400.0,2.03,1613088000.0,634604744.0,177720754176.0,,1325203200.0,10:1,,,0.167,1615766400.0,3.23,,0.0072000003,4706583.0,,,287.71,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020,,,
9,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1.0,345 Park Avenue,Software—Infrastructure,493.41,498.37,475.7882,,0.0,,504.44,,2849525.0,,493.41,459.26364,,498.37,2849525.0,,,,,1111622400.0,0.948152,,,492.86,2.0,USD,43.882988,1887016.0,,,,240931127296.0,,,2905873.0,17.60935,492.86,503.7,,1100.0,1887016.0,536.88,36.845028,,,306.3,502.02,False,,1000.0,504.44,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,True,-14400000,,EQUITY,ADBE,,,finmb_24321,bccf427f-30a1-3360-9ce4-c77a8198c902,us_market,,17.444,,0.40681,44.753,,,13.68,,478000000.0,,,28.28,5068426.0,0.0106,,1606435200.0,0.8571,5566000128.0,11.486,,,17.823196,0.0029699998,1669507200.0,1614902400.0,1.71,1613088000.0,476417820.0,238667513856.0,,1116892800.0,2:1,,,0.32,1615766400.0,2.12,,0.0106,4908064.0,,,504.04,https://logo.clearbit.com/adobe.com,,408 537 6000,,,
