Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-05-08,44.90800094604492,48.79999923706055,44.90800094604492,48.0,120105,0,0.0
2000-05-09,48.0,48.0,48.0,48.0,0,0,0.0
2000-05-10,47.599998474121094,48.0,47.0,47.29999923706055,136960,0,0.0
2000-05-11,47.0,47.599998474121094,46.0,47.38800048828125,1572295,0,0.0
2000-05-12,48.0,50.0,47.599998474121094,49.018001556396484,1428125,0,0.0
2000-05-15,50.0,50.599998474121094,49.0,50.20000076293945,607460,0,0.0
2000-05-16,50.0,51.0,49.0,50.0,50270,0,0.0
2000-05-17,51.0,51.0,48.0,48.599998474121094,166240,0,0.0
2000-05-18,49.599998474121094,49.599998474121094,47.599998474121094,48.0,490025,0,0.0
2000-05-19,48.0,48.0,48.0,48.0,0,0,0.0
2000-05-22,49.0,49.02399826049805,43.0,43.0,712150,0,0.0
2000-05-23,45.0,45.599998474121094,42.79999923706055,43.79999923706055,470085,0,0.0
2000-05-24,43.599998474121094,43.599998474121094,42.0,42.0,132040,0,0.0
2000-05-25,43.0,44.400001525878906,42.0,44.04399871826172,297810,0,0.0
2000-05-26,44.0,45.0,42.0,44.0,145485,0,0.0
2000-05-29,46.0,46.0,44.400001525878906,44.79999923706055,128120,0,0.0
2000-05-30,44.79999923706055,45.20000076293945,44.400001525878906,44.400001525878906,335210,0,0.0
2000-05-31,45.400001525878906,45.400001525878906,44.400001525878906,44.79999923706055,109960,0,0.0
2000-06-01,44.79999923706055,44.79999923706055,44.79999923706055,44.79999923706055,0,0,0.0
2000-06-02,45.0,46.0,44.0,45.79999923706055,320610,0,0.0
2000-06-05,45.79999923706055,45.79999923706055,45.79999923706055,45.79999923706055,0,0,0.0
2000-06-06,46.400001525878906,47.400001525878906,46.0,47.08000183105469,990900,0,0.0
2000-06-07,47.20000076293945,47.22200012207031,45.599998474121094,46.79999923706055,1393575,0,0.0
2000-06-08,47.20000076293945,48.0,46.400001525878906,47.400001525878906,431000,0,0.0
2000-06-09,47.79999923706055,47.79999923706055,44.79999923706055,45.20000076293945,986970,0,0.0
2000-06-12,45.20000076293945,45.20000076293945,45.20000076293945,45.20000076293945,0,0,0.0
2000-06-13,44.20000076293945,45.0,42.0,42.400001525878906,264380,0,0.0
2000-06-14,42.400001525878906,44.02199935913086,41.79999923706055,41.79999923706055,155275,0,0.0
2000-06-15,43.0,44.400001525878906,42.0,44.400001525878906,895680,0,0.0
2000-06-16,44.20000076293945,46.79999923706055,44.0,46.79999923706055,413545,0,0.0
2000-06-19,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,0,0,0.0
2000-06-20,45.0,46.599998474121094,44.0,46.0,470530,0,0.0
2000-06-21,46.0,46.79999923706055,45.0,46.20000076293945,105475,0,0.0
2000-06-22,47.0,50.0,46.599998474121094,49.599998474121094,457595,0,0.0
2000-06-23,48.0,51.0,48.0,50.0,1181060,0,0.0
2000-06-26,48.0,51.0,48.0,49.75600051879883,342610,0,0.0
2000-06-27,50.0,51.0,48.0,49.0,790785,0,0.0
2000-06-28,48.0,50.599998474121094,48.0,50.0,267280,0,0.0
2000-06-29,50.599998474121094,50.599998474121094,46.20000076293945,47.0,649435,0,0.0
2000-06-30,47.742000579833984,50.0,46.20000076293945,46.20000076293945,512780,0,0.0
2000-07-03,47.34400177001953,49.04999923706055,46.20000076293945,48.20000076293945,641820,0,0.0
2000-07-04,48.79999923706055,48.79999923706055,47.0,48.599998474121094,1075510,0,0.0
2000-07-05,48.0,52.400001525878906,48.0,51.0,1186865,0,0.0
2000-07-06,51.400001525878906,52.0,50.0,50.400001525878906,683920,0,0.0
2000-07-07,50.400001525878906,50.400001525878906,50.400001525878906,50.400001525878906,0,0,0.0
2000-07-10,53.0,55.0,50.0,51.20000076293945,108950,0,0.0
2000-07-11,52.0,52.07400131225586,51.0,51.599998474121094,71535,0,0.0
2000-07-12,52.400001525878906,52.400001525878906,51.0,52.0,181960,0,0.0
2000-07-13,51.20000076293945,52.0,49.79999923706055,51.79999923706055,97725,0,0.0
2000-07-14,51.400001525878906,53.0,51.400001525878906,51.79999923706055,847740,0,0.0
2000-07-17,52.400001525878906,52.79999923706055,49.79999923706055,51.0,122430,0,0.0
2000-07-18,53.0,53.0,50.0,51.0,94035,0,0.0
2000-07-19,52.79999923706055,52.79999923706055,50.400001525878906,51.20000076293945,991930,0,0.0
2000-07-20,50.0,51.79999923706055,50.0,51.400001525878906,972145,0,0.0
2000-07-21,51.599998474121094,54.0,51.0,53.0,229300,0,0.0
2000-07-24,53.0,53.0,53.0,53.0,0,0,0.0
2000-07-25,53.20000076293945,53.20000076293945,50.0,51.0,409360,0,0.0
2000-07-26,51.599998474121094,52.0,50.400001525878906,51.400001525878906,104135,0,0.0
2000-07-27,51.400001525878906,51.400001525878906,51.400001525878906,51.400001525878906,0,0,0.0
2000-07-28,52.0,52.051998138427734,51.0,52.0,77280,0,0.0
2000-07-31,52.051998138427734,57.0,51.0,55.79999923706055,130005,0,0.0
2000-08-01,54.0,59.79999923706055,53.0,58.0,842680,0,0.0
2000-08-02,59.0,59.0,57.400001525878906,57.400001525878906,320985,0,0.0
