Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-31,16000.0,16000.0,16000.0,16000.0,1000,0,0
2020-01-02,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-03,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-06,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-07,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-08,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-09,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-10,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-13,16000.0,16000.0,16000.0,16000.0,0,0,0
2020-01-14,17600.0,17600.0,17600.0,17600.0,500,0,0
2020-01-15,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-16,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-17,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-21,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-22,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-23,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-24,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-27,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-28,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-29,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-30,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-01-31,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-03,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-04,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-06,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-07,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-10,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-11,17600.0,17600.0,17600.0,17600.0,0,0,0
2020-02-12,15900.0,15900.0,15900.0,15900.0,1000,0,0
2020-02-13,15900.0,15900.0,15900.0,15900.0,0,0,0
2020-02-14,15900.0,15900.0,15900.0,15900.0,0,0,0
