Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-14,5445.419921875,5445.419921875,5445.419921875,5445.419921875,186,0,0
2020-07-15,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-16,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-17,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-20,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-21,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-22,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-23,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-24,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-27,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-28,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-29,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-30,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-07-31,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-08-03,5445.419921875,5445.419921875,5445.419921875,5445.419921875,0,0,0
2020-08-04,5777.0,5777.0,5777.0,5777.0,153,0,0
2020-08-05,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-06,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-07,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-10,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-11,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-12,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-13,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-14,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-17,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-18,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-19,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-20,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-21,5777.0,5777.0,5777.0,5777.0,0,0,0
2020-08-24,5870.0,5915.0,5870.0,5915.0,69,0,0
2020-08-25,5686.0,5686.0,5686.0,5686.0,10,0,0
2020-08-26,5765.669921875,5765.669921875,5765.669921875,5765.669921875,2000,0,0
2020-08-27,5670.0,5670.0,5631.0,5639.68017578125,3034,0,0
2020-08-28,5639.68017578125,5639.68017578125,5639.68017578125,5639.68017578125,0,0,0
2020-08-31,5608.52001953125,5608.52001953125,5608.52001953125,5608.52001953125,3000,0,0
2020-09-01,5631.5498046875,5631.5498046875,5631.5498046875,5631.5498046875,89,0,0
2020-09-02,5631.5498046875,5631.5498046875,5631.5498046875,5631.5498046875,0,0,0
2020-09-03,5631.5498046875,5631.5498046875,5631.5498046875,5631.5498046875,0,0,0
2020-09-04,5095.0,5095.0,5095.0,5095.0,3019,0,0
2020-09-07,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-08,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-09,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-10,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-11,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-14,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-15,5095.0,5095.0,5095.0,5095.0,0,0,0
2020-09-17,5079.25,5079.25,5079.25,5079.25,271,0,0
2020-09-18,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-21,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-22,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-23,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-24,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-25,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-28,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-29,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-09-30,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-10-01,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-10-02,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-10-05,5079.25,5079.25,5079.25,5079.25,0,0,0
2020-10-06,5392.85009765625,5392.85009765625,5392.85009765625,5392.85009765625,139,0,0
2020-10-07,5392.85009765625,5392.85009765625,5392.85009765625,5392.85009765625,0,0,0
2020-10-08,5410.0,5410.0,5410.0,5410.0,112,0,0
2020-10-09,5410.0,5410.0,5410.0,5410.0,0,0,0
2020-10-12,5410.0,5410.0,5410.0,5410.0,0,0,0
2020-10-13,5410.0,5410.0,5410.0,5410.0,0,0,0
2020-10-14,5410.0,5410.0,5410.0,5410.0,0,0,0
2020-10-15,5356.72021484375,5356.72021484375,5356.72021484375,5356.72021484375,89,0,0
2020-10-16,5356.72021484375,5356.72021484375,5356.72021484375,5356.72021484375,0,0,0
2020-10-19,5356.72021484375,5356.72021484375,5356.72021484375,5356.72021484375,0,0,0
