Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-16,740.0,750.0,735.0,746.5700073242188,2584,0,0
2020-06-17,750.2999877929688,750.2999877929688,734.989990234375,740.7000122070312,1372,0,0
2020-06-18,745.0,761.0,744.0,762.0,5313,0,0
2020-06-19,761.0,770.0,730.0,744.780029296875,19718,0,0
2020-06-22,732.0,737.0,704.0399780273438,714.5,5029,0,0
2020-06-23,720.0,741.0,720.0,746.2000122070312,940,0,0
2020-06-24,725.0,730.0,694.0,703.2100219726562,10691,0,0
2020-06-25,694.0,700.0,685.0,699.6699829101562,4273,0,0
2020-06-26,695.0,695.0,671.0,685.0,2162,0,0
2020-06-29,680.0,690.0,671.0,688.7999877929688,2193,0,0
2020-06-30,700.010009765625,720.0,700.0,708.0,8477,0,0
2020-07-01,720.0,720.0,690.0,717.6199951171875,1484,0,0
2020-07-02,700.0,713.0,687.0,693.5,2614,0,0
2020-07-03,695.0,695.0,693.5,690.989990234375,58,0,0
2020-07-06,720.02001953125,732.0,709.0,727.77001953125,39527,0,0
2020-07-07,725.0,760.0,725.0,748.0,6531,0,0
2020-07-08,750.0,776.0,750.0,770.0,21900,0,0
2020-07-09,770.0,775.9000244140625,739.0,759.0999755859375,17924,0,0
2020-07-10,740.0,760.0,740.0,745.5,5150,0,0
2020-07-13,754.469970703125,754.469970703125,722.0,722.0,18559,0,0
2020-07-14,713.0,713.0,688.0,696.97998046875,7439,0,0
2020-07-15,698.0,737.6699829101562,698.0,699.5499877929688,6917,0,0
2020-07-16,727.0,728.0,705.010009765625,721.7899780273438,5653,0,0
2020-07-17,729.0,750.0,720.0,720.0,570,0,0
2020-07-20,725.0,762.0,725.0,762.0,5079,0,0
2020-07-21,755.0,755.0,727.0,733.1300048828125,2414,0,0
2020-07-22,742.0,742.0,732.0,733.0,170,0,0
2020-07-23,731.0,750.0,724.0,737.0,3668,0,0
2020-07-24,698.0,698.02001953125,696.5,697.0,2905,0,0
2020-07-27,693.510009765625,693.510009765625,678.0,678.0,772,0,0
2020-07-28,675.0,680.5,670.0,683.2100219726562,448,0,0
2020-07-29,683.0,685.0,682.0,685.0,599,0,0
