Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17,4083.0,4083.0,4083.0,4083.0,41,0,0
2020-06-18,4083.0,4083.0,4083.0,4083.0,0,0,0
2020-06-19,4083.0,4083.0,4083.0,4083.0,0,0,0
2020-06-22,4151.77001953125,4151.77001953125,4151.77001953125,4151.77001953125,427,0,0
2020-06-23,4151.77001953125,4151.77001953125,4151.77001953125,4151.77001953125,135,0,0
2020-06-24,4151.77001953125,4151.77001953125,4151.77001953125,4151.77001953125,0,0,0
2020-06-25,4151.77001953125,4151.77001953125,4151.77001953125,4151.77001953125,0,0,0
2020-06-26,4290.0,4320.259765625,4290.0,4320.259765625,470,0,0
2020-06-29,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-06-30,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-01,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-02,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-03,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-06,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-07,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-08,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-09,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-10,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-13,4320.259765625,4320.259765625,4320.259765625,4320.259765625,0,0,0
2020-07-14,4141.0,4141.0,4112.06982421875,4112.06982421875,815,0,0
2020-07-15,4112.06982421875,4112.06982421875,4112.06982421875,4112.06982421875,0,0,0
2020-07-16,4100.0,4100.0,4100.0,4100.0,51,0,0
2020-07-17,4100.0,4100.0,4100.0,4100.0,0,0,0
2020-07-20,4100.0,4100.0,4100.0,4100.0,0,0,0
2020-07-21,4100.0,4100.0,4100.0,4100.0,0,0,0
2020-07-22,4100.0,4100.0,4100.0,4100.0,0,0,0
2020-07-23,4100.0,4100.0,4100.0,4100.0,0,0,0
2020-07-24,4062.31005859375,4062.31005859375,4062.31005859375,4062.31005859375,1758,0,0
2020-07-27,4062.31005859375,4062.31005859375,4062.31005859375,4062.31005859375,0,0,0
2020-07-28,4062.31005859375,4062.31005859375,4062.31005859375,4062.31005859375,0,0,0
2020-07-29,4062.31005859375,4062.31005859375,4062.31005859375,4062.31005859375,0,0,0
